scenario,arrival_rate,n_customers,mean_seconds,p99_seconds,sla_pct,cashier_share_pct
Combined (2 Cashier + 4 Kiosk),40,33759,163.08591474496356,295.33969088691043,100.0,71.70236085192097
Combined (2 Cashier + 4 Kiosk),50,42149,166.14924122580868,304.8839931485322,100.0,69.7928776483428
Combined (2 Cashier + 4 Kiosk),60,49999,172.27059522529987,331.1449433312407,100.0,68.32936658733175
Combined (2 Cashier + 4 Kiosk),70,58760,179.14007837924868,355.7017614965351,100.0,66.83798502382572
Combined (2 Cashier + 4 Kiosk),80,67117,196.06866284258976,436.66119257508257,99.85249638690644,66.00712189162209
Combined (2 Cashier + 4 Kiosk),85,71313,206.282422032978,462.02583285438885,99.93409336306144,65.40041787612357
Combined (2 Cashier + 4 Kiosk),90,76099,230.24601764502827,601.6270970697406,98.97896161578996,64.99165560651257
Combined (2 Cashier + 4 Kiosk),95,79604,250.82662588942878,669.1593935175006,98.14833425456008,64.5658509622632
Combined (2 Cashier + 4 Kiosk),100,83887,314.38611556011705,996.516019979571,92.00591271591546,64.25667862720088
Combined (2 Cashier + 4 Kiosk),103,86690,405.12461848046024,1746.1780409347318,83.62556234859846,63.954319990771715
Combined (2 Cashier + 4 Kiosk),106,88753,469.23345183851217,1439.8555257035368,73.64483454080425,63.7510844703841
Combined (2 Cashier + 4 Kiosk),108,90038,603.0019718890853,2100.0822189560395,60.594415691152626,63.67644772207291
Combined (2 Cashier + 4 Kiosk),110,92709,2041.5410339053954,4965.698786941842,15.92833489736703,63.34552200972937
Combined (2 Cashier + 4 Kiosk),112,93239,3642.977745318405,7984.278114690714,2.0302663048724243,63.33723012902326
Combined (2 Cashier + 4 Kiosk),114,93339,7100.206358122402,12324.53142253329,0.36854905237896274,63.27151565797791
Combined (2 Cashier + 4 Kiosk),116,93097,12875.327872041405,26156.271738117928,0.0687455020032869,63.132002105331
Combined (2 Cashier + 4 Kiosk),118,93110,18338.078222671407,34821.72213033167,0.0,62.86542798840081
Combined (2 Cashier + 4 Kiosk),120,92995,21408.16516950309,43407.104320936545,0.0,62.82273240496801
