scenario,arrival_rate,n_customers,mean_seconds,p99_seconds,sla_pct
Human Cashier,40,33941,157.5805780264895,286.4838224136445,100.0
Human Cashier,50,42089,161.43676657269353,299.7050490809677,100.0
Human Cashier,60,50405,167.9832064492628,319.86306876287154,100.0
Human Cashier,70,58498,177.43087001653066,354.07782792457135,99.99658107969503
Human Cashier,80,67248,195.0410235019847,427.7113197195862,99.97323340471092
Human Cashier,85,71742,206.06993282567078,460.0059235137578,99.90103426165985
Human Cashier,90,75707,225.35257144510794,554.0703822899127,99.39635700793849
Human Cashier,95,79291,250.70118693559297,658.5377353129214,98.15994249032046
Human Cashier,100,83766,315.79462136328704,949.5103782952389,91.81648879020128
Human Cashier,103,86580,360.05197698127415,1115.4208219635696,87.3977823977824
Human Cashier,106,89517,579.3216628757999,2159.123819432776,65.89921467430767
Human Cashier,108,90631,697.0408800862762,2353.9419922501897,54.094073771667524
Human Cashier,110,91803,1093.5866351977782,4209.473503178489,35.351785889350026
Human Cashier,112,93021,4655.249864831475,10867.036013930734,0.8643209597832747
Human Cashier,114,93277,6615.860639464157,18378.22201703555,1.4162119279136336
Human Cashier,116,93208,11569.059357015485,26230.499751590258,0.46240666037250017
Human Cashier,118,93091,17746.584298130576,39638.93226639176,0.0
Human Cashier,120,93167,21461.76648328624,40878.58959785133,0.0
Self-Order Terminal (SOT),40,33364,182.77432691441516,316.1991717099477,100.0
Self-Order Terminal (SOT),50,42300,186.7069678990216,329.54501794257135,100.0
Self-Order Terminal (SOT),60,50750,191.7496854314907,347.662490628378,100.0
Self-Order Terminal (SOT),70,59072,201.2552842887033,389.1854221231261,99.99492145178765
Self-Order Terminal (SOT),80,67609,213.88369548241525,440.4086315702289,99.95858539543552
Self-Order Terminal (SOT),85,70781,223.8725965385424,487.6600475976825,99.78949153021291
Self-Order Terminal (SOT),90,75589,247.41065102754663,610.7194863749897,98.89005013957058
Self-Order Terminal (SOT),95,79791,265.77259939259113,665.3969548183933,98.10630271584515
Self-Order Terminal (SOT),100,83638,313.9482438772401,921.9347324048445,93.82218608766351
Self-Order Terminal (SOT),103,86011,393.1922093364638,1489.7177709126674,84.78450430758856
Self-Order Terminal (SOT),106,88949,518.8574435100154,1815.6380375081703,68.81134133042531
Self-Order Terminal (SOT),108,90361,711.9246443380958,2350.325514047239,51.663881541815606
Self-Order Terminal (SOT),110,91908,1249.1284665892592,4134.690225341518,31.943900422161292
Self-Order Terminal (SOT),112,92922,3221.6470951324427,7717.319200417338,10.790770753965692
Self-Order Terminal (SOT),114,93125,8019.19815973989,16107.06405410282,1.0061744966442954
Self-Order Terminal (SOT),116,93109,11143.168494915979,25072.920888096716,0.10203095296910072
Self-Order Terminal (SOT),118,92982,15934.047082679039,33291.15346040271,0.0
Self-Order Terminal (SOT),120,92733,22300.2500450946,43679.40723850945,0.0
